latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
47.257,-128.046,31.266,166.1670918,0.44065541,9.091427803,103.1090389,-2703.210938,252.2718906
47.287,-127.906,78.5052,417.2257653,0.438915431,9.063275337,103.1090389,-2687.17627,242.504
47.316,-127.765,109.8441,583.7802934,0.437323034,9.041245461,103.1090389,-2678.292725,232.2883906
47.346,-127.624,112.7844,599.4068878,0.435256869,9.008185387,103.1090389,-2663.467773,221.7578438
47.375,-127.483,112.7844,599.4068878,0.432904482,8.972826004,103.1090389,-2627.776855,211.1399844
47.405,-127.342,99.9864,531.3903061,0.430346906,8.935567856,103.1090389,-2579.933594,200.4865781
47.434,-127.201,112.7844,599.4068878,0.427914381,8.899045944,103.1090389,-2567.722412,189.9050469
47.463,-127.06,112.7844,599.4068878,0.425433248,8.863197327,103.1090389,-2561.065186,179.288
47.492,-126.918,112.7844,599.4068878,0.422356188,8.819747925,103.1090389,-2504.134277,168.6713281
47.52,-126.776,112.7844,599.4068878,0.419108033,8.775424957,103.1090389,-2438.886475,158.0551094
47.549,-126.635,112.7844,599.4068878,0.415804297,8.729997635,103.1090389,-2385.881592,147.4394531
47.578,-126.493,112.7844,599.4068878,0.411549687,8.671664238,103.1090389,-2338.799316,136.8244688
47.606,-126.351,104.085,553.1728316,0.407557368,8.617121696,103.1090389,-2316.444824,126.4040313
47.634,-126.208,103.8015,551.6661352,0.402565628,8.549260139,103.1090389,-1873.54126,115.3727266
47.663,-126.066,100.0836,531.9068878,0.397154242,8.48176384,103.1090389,-1490.874023,104.9019766
47.691,-125.923,112.7844,599.4068878,0.391728461,8.412020683,103.1090389,-1508.859253,94.37502344
47.718,-125.781,112.7844,599.4068878,0.385498315,8.334448814,103.1090389,-1246.611572,83.76613281
47.746,-125.638,112.7844,599.4068878,0.378098279,8.242191315,103.1090389,-1122.381592,73.158875
47.774,-125.495,112.7844,599.4068878,0.370324731,8.14839077,103.1090389,-960.4866333,62.55299609
47.801,-125.352,112.7844,599.4068878,0.361681283,8.038135529,103.1090389,-751.5760498,51.94864063
47.829,-125.209,101.1933,537.8045281,0.352290422,7.923705578,103.1090389,-471.9028931,41.74421484
47.856,-125.065,9.6066,51.05548469,0.34468171,7.828861713,103.1090389,-290.2284851,34.94974219
47.082,-128.417,13.5675,72.10618622,0.44495073,9.158520699,103.1090389,-2708.314697,282.882625
47.112,-128.277,53.9865,286.9180485,0.443452567,9.136400223,103.1090389,-2705.2854,274.3544063
47.142,-128.137,98.0586,521.1447704,0.442140996,9.113824844,103.1090389,-2706.104492,264.0622813
47.172,-127.997,98.5446,523.7276786,0.440231174,9.083276749,103.1090389,-2702.32251,253.9216563
47.202,-127.857,112.5171,597.9862883,0.438111156,9.050014496,103.1090389,-2685.173096,243.0752031
47.231,-127.716,112.7844,599.4068878,0.43603459,9.016812325,103.1090389,-2673.134766,232.4738281
47.261,-127.576,112.7844,599.4068878,0.433774889,8.986240387,103.1090389,-2650.698242,221.8604844
47.29,-127.435,112.7844,599.4068878,0.431416959,8.950284958,103.1090389,-2620.358398,211.2477813
47.319,-127.294,101.7198,540.6026786,0.428913891,8.912522316,103.1090389,-2602.872314,201.0204219
47.349,-127.153,111.1644,590.7971939,0.426691055,8.876903534,103.1090389,-2587.971436,189.9505469
47.378,-127.012,112.7844,599.4068878,0.423883259,8.83551693,103.1090389,-2557.833008,179.4149219
47.406,-126.87,112.7844,599.4068878,0.420942932,8.79621315,103.1090389,-2516.773926,168.8062344
47.435,-126.729,112.7844,599.4068878,0.41778332,8.754015923,103.1090389,-2492.700439,158.1990938
47.464,-126.587,112.1121,595.8338648,0.414441258,8.708440781,103.1090389,-2415.045166,147.6209063
47.492,-126.445,98.3907,522.9097577,0.410320252,8.6516819,103.1090389,-2372.462402,136.9880781
47.521,-126.304,106.7337,567.2496811,0.405703962,8.589939117,103.1090389,-2345.485107,126.2283125
47.549,-126.161,104.166,553.6033163,0.400962353,8.530993462,103.1090389,-1903.658813,116.0140313
47.577,-126.019,106.6932,567.0344388,0.395478189,8.457372665,103.1090389,-1524.19043,104.9954688
47.605,-125.877,112.7844,599.4068878,0.389901131,8.386009216,103.1090389,-1421.835693,94.61666406
47.633,-125.735,112.7844,599.4068878,0.383923233,8.308008194,103.1090389,-1354.118408,84.03985156
47.661,-125.592,112.7844,599.4068878,0.376524389,8.21632576,103.1090389,-1212.519531,73.47552344
47.688,-125.449,112.7844,599.4068878,0.368512779,8.118977547,103.1090389,-1065.729248,62.92898828
47.716,-125.306,112.7844,599.4068878,0.359394133,8.007514954,103.1090389,-926.8903809,52.40194531
47.743,-125.163,110.1519,585.4161352,0.349824846,7.886703014,103.1090389,-609.1769409,41.99741406
47.77,-125.02,4.6656,24.79591837,0.344223946,7.819149494,103.1090389,-353.550354,35.6211875
46.906,-128.786,3.2157,17.09024235,0.448811889,9.220000267,103.1090389,-2807.795898,314.0243125
46.937,-128.647,33.4449,177.7471301,0.447567374,9.203999519,103.1090389,-2736.097412,306.20975
46.967,-128.507,79.7607,423.8982781,0.446386784,9.179643631,103.1090389,-2738.185547,296.4432188
46.997,-128.368,101.7846,540.9470663,0.444646478,9.152882576,103.1090389,-2720.727295,285.7866875
47.027,-128.228,112.7844,599.4068878,0.44297111,9.126363754,103.1090389,-2709.848389,275.423875
47.057,-128.088,112.7844,599.4068878,0.441322923,9.094898224,103.1090389,-2709.513428,264.8282813
47.087,-127.948,112.3794,597.2544643,0.439184606,9.064146042,103.1090389,-2702.068848,254.2540938
47.117,-127.808,98.6985,524.5455995,0.436909765,9.03044796,103.1090389,-2680.87915,243.4097969
47.146,-127.667,112.7844,599.4068878,0.434901178,8.994547844,103.1090389,-2661.725342,233.054875
47.176,-127.527,112.7844,599.4068878,0.43248567,8.961559296,103.1090389,-2646.537842,222.4692344
47.205,-127.386,112.7844,599.4068878,0.430306792,8.930379868,103.1090389,-2632.77832,211.8870469
47.234,-127.246,112.7844,599.4068878,0.427934676,8.892649651,103.1090389,-2628.979004,201.3088281
47.263,-127.105,99.9702,531.3042092,0.425209969,8.851779938,103.1090389,-2591.372314,190.4172813
47.292,-126.964,112.7844,599.4068878,0.422801167,8.815101624,103.1090389,-2565.307861,180.1671719
47.321,-126.823,112.7844,599.4068878,0.419570833,8.775087357,103.1090389,-2551.099121,169.6055313
47.35,-126.681,105.6321,561.3950893,0.416599602,8.733557701,103.1090389,-2493.832764,159.2026875
47.378,-126.54,98.9334,525.7940051,0.412920117,8.683794975,103.1090389,-2441.261475,148.5062969
47.407,-126.398,112.671,598.8042092,0.409067065,8.631484032,103.1090389,-2408.900635,137.9699688
47.435,-126.257,109.9494,584.3399235,0.404360831,8.571753502,103.1090389,-2354.589355,127.5589297
47.463,-126.115,101.3148,538.4502551,0.399142206,8.507221222,103.1090389,-1794.625977,116.7015938
47.491,-125.973,112.7844,599.4068878,0.394102305,8.44161129,103.1090389,-1629.709839,106.4664063
47.519,-125.831,112.7844,599.4068878,0.388240784,8.366290092,103.1090389,-1360.652954,95.99616406
47.547,-125.688,112.7844,599.4068878,0.381976336,8.282870293,103.1090389,-1422.726563,85.54724219
