,latitude,longitude,labels
9477,33.53,-124.443,1
9478,33.557,-124.328,1
9479,33.584,-124.213,1
9480,33.611,-124.098,1
9481,33.637,-123.983,1
9482,33.664,-123.868,1
9483,33.69,-123.752,1
9484,33.716,-123.637,1
9485,33.742,-123.522,1
9486,33.768,-123.406,1
9487,33.794,-123.29,1
9488,33.82,-123.175,1
9489,33.846,-123.059,1
9490,33.871,-122.943,1
9491,33.897,-122.827,1
9492,33.922,-122.711,1
9493,33.947,-122.595,1
9494,33.973,-122.479,1
9495,33.998,-122.363,1
9496,34.023,-122.246,1
9497,34.047,-122.13,1
9498,34.072,-122.014,1
9499,34.097,-121.897,1
9500,34.121,-121.78,1
9501,34.146,-121.664,1
9502,34.17,-121.547,1
9503,34.194,-121.43,1
9504,34.218,-121.313,1
9505,34.242,-121.196,1
9506,34.383,-120.492,1
9507,34.407,-120.374,1
9508,34.43,-120.257,1
9509,35.097,-75.473,4
9510,35.077,-75.353,4
9511,35.057,-75.233,4
9512,35.038,-75.113,4
9513,35.018,-74.993,4
9514,34.998,-74.874,4
9515,34.978,-74.754,4
9516,34.957,-74.635,4
9517,34.937,-74.515,4
9518,34.917,-74.396,4
9519,34.896,-74.276,4
9520,34.875,-74.157,4
9521,34.854,-74.038,4
9522,34.834,-73.919,4
9523,34.813,-73.8,4
9524,34.791,-73.681,4
9525,34.77,-73.562,4
9526,34.749,-73.443,4
9527,34.727,-73.324,4
9528,34.706,-73.206,4
9529,34.684,-73.087,4
9530,34.662,-72.969,4
9531,34.64,-72.85,4
9532,34.618,-72.732,4
9533,34.596,-72.613,4
9534,34.574,-72.495,4
9535,34.552,-72.377,4
9536,34.529,-72.259,4
9537,34.507,-72.141,4
9538,34.484,-72.023,4
9539,34.461,-71.905,4
9540,34.438,-71.787,4
9541,34.415,-71.67,4
9542,34.392,-71.552,4
9543,33.443,-124.407,1
9544,33.47,-124.292,1
9545,33.497,-124.178,1
9546,33.524,-124.063,1
9547,33.55,-123.948,1
9548,33.576,-123.833,1
9549,33.603,-123.718,1
9550,33.629,-123.602,1
9551,33.655,-123.487,1
9552,33.681,-123.372,1
9553,33.707,-123.256,1
9554,33.733,-123.141,1
9555,33.758,-123.025,1
9556,33.784,-122.909,1
9557,33.809,-122.794,1
9558,33.835,-122.678,1
9559,33.86,-122.562,1
9560,33.885,-122.446,1
9561,33.91,-122.33,1
9562,33.935,-122.213,1
9563,33.96,-122.097,1
9564,33.984,-121.981,1
9565,34.009,-121.864,1
9566,34.034,-121.748,1
9567,34.058,-121.631,1
9568,34.082,-121.514,1
9569,34.106,-121.398,1
9570,34.13,-121.281,1
9571,34.154,-121.164,1
9572,34.272,-120.578,1
9573,34.387,-119.991,1
9574,35.085,-75.979,4
9575,35.066,-75.859,4
9576,35.008,-75.499,4
9577,34.988,-75.379,4
9578,34.969,-75.26,4
9579,34.949,-75.14,4
9580,34.929,-75.02,4
9581,34.909,-74.901,4
9582,34.889,-74.781,4
9583,34.869,-74.662,4
9584,34.849,-74.543,4
9585,34.828,-74.423,4
9586,34.808,-74.304,4
9587,34.787,-74.185,4
9588,34.766,-74.066,4
9589,34.745,-73.947,4
9590,34.724,-73.828,4
9591,34.703,-73.709,4
9592,34.682,-73.591,4
9593,34.661,-73.472,4
9594,34.639,-73.353,4
9595,34.618,-73.235,4
9596,34.596,-73.116,4
9597,34.574,-72.998,4
9598,34.552,-72.88,4
9599,34.53,-72.761,4
9600,34.508,-72.643,4
9601,34.486,-72.525,4
9602,34.464,-72.407,4
9603,34.441,-72.289,4
9604,34.419,-72.171,4
9605,34.396,-72.054,4
9606,34.373,-71.936,4
9607,34.35,-71.818,4
9608,34.327,-71.701,4
9609,34.304,-71.583,4
9610,33.356,-124.372,1
9611,33.383,-124.257,1
9612,33.41,-124.142,1
9613,33.436,-124.028,1
9614,33.463,-123.913,1
9615,33.489,-123.798,1
9616,33.516,-123.683,1
9617,33.542,-123.568,1
9618,33.568,-123.453,1
9619,33.594,-123.337,1
9620,33.62,-123.222,1
9621,33.645,-123.107,1
9622,33.671,-122.991,1
9623,33.697,-122.876,1
9624,33.722,-122.76,1
9625,33.747,-122.644,1
9626,33.772,-122.528,1
9627,33.798,-122.413,1
9628,33.823,-122.297,1
9629,33.847,-122.18,1
9630,33.872,-122.064,1
9631,33.897,-121.948,1
9632,33.921,-121.832,1
9633,33.946,-121.715,1
9634,33.97,-121.599,1
9635,33.994,-121.482,1
9636,34.019,-121.366,1
9637,34.043,-121.249,1
9638,34.066,-121.132,1
9639,34.161,-120.664,1
9640,34.184,-120.547,1
9641,34.207,-120.43,1
9642,34.231,-120.313,1
9643,34.322,-119.842,1
9644,34.345,-119.725,1
9645,34.367,-119.607,1
9646,34.389,-119.489,1
9647,35.015,-76.125,4
9648,34.996,-76.005,4
9649,34.977,-75.885,4
9650,34.958,-75.765,4
9651,34.939,-75.645,4
9652,34.919,-75.525,4
9653,34.9,-75.406,4
9654,34.88,-75.286,4
9655,34.86,-75.167,4
9656,34.841,-75.047,4
9657,34.821,-74.928,4
9658,34.8,-74.808,4
9659,34.78,-74.689,4
9660,34.76,-74.57,4
9661,34.74,-74.451,4
9662,34.719,-74.332,4
9663,34.698,-74.213,4
9664,34.678,-74.094,4
9665,34.657,-73.975,4
9666,34.636,-73.856,4
9667,34.615,-73.738,4
9668,34.594,-73.619,4
9669,34.572,-73.501,4
9670,34.551,-73.382,4
9671,34.529,-73.264,4
9672,34.508,-73.145,4
9673,34.486,-73.027,4
9674,34.464,-72.909,4
9675,34.442,-72.791,4
9676,34.42,-72.673,4
9677,34.398,-72.555,4
9678,34.375,-72.437,4
9679,34.353,-72.319,4
9680,34.33,-72.202,4
9681,34.308,-72.084,4
9682,34.285,-71.966,4
9683,34.262,-71.849,4
9684,34.239,-71.731,4
9685,34.216,-71.614,4
9686,33.242,-124.451,1
9687,33.269,-124.336,1
9688,33.296,-124.222,1
9689,33.323,-124.107,1
9690,33.349,-123.993,1
9691,33.376,-123.878,1
9692,33.402,-123.763,1
9693,33.428,-123.648,1
9694,33.454,-123.533,1
9695,33.48,-123.418,1
9696,33.506,-123.303,1
9697,33.532,-123.188,1
9698,33.558,-123.073,1
9699,33.584,-122.957,1
9700,33.609,-122.842,1
9701,33.634,-122.726,1
9702,33.66,-122.611,1
9703,33.685,-122.495,1
