,latitude,longitude,k_cluster,count_in_cluster,Centroid_Lat,Centroid_Lon
15063,28.095,-85.268,13,1788,26.2494220234768,-83.68492845164897
15064,28.085,-85.157,13,1788,26.2494220234768,-83.68492845164897
15065,28.074,-85.046,13,1788,26.2494220234768,-83.68492845164897
15066,28.063,-84.935,13,1788,26.2494220234768,-83.68492845164897
15067,28.053,-84.824,13,1788,26.2494220234768,-83.68492845164897
15068,28.042,-84.713,13,1788,26.2494220234768,-83.68492845164897
15069,28.031,-84.603,13,1788,26.2494220234768,-83.68492845164897
15070,28.019,-84.492,13,1788,26.2494220234768,-83.68492845164897
15071,28.008,-84.381,13,1788,26.2494220234768,-83.68492845164897
15072,27.997,-84.27,13,1788,26.2494220234768,-83.68492845164897
15073,27.985,-84.159,13,1788,26.2494220234768,-83.68492845164897
15074,27.974,-84.049,13,1788,26.2494220234768,-83.68492845164897
15075,27.962,-83.938,13,1788,26.2494220234768,-83.68492845164897
15076,27.95,-83.827,13,1788,26.2494220234768,-83.68492845164897
15077,27.938,-83.717,13,1788,26.2494220234768,-83.68492845164897
15078,27.926,-83.606,13,1788,26.2494220234768,-83.68492845164897
15079,27.914,-83.495,13,1788,26.2494220234768,-83.68492845164897
15080,27.902,-83.385,13,1788,26.2494220234768,-83.68492845164897
15081,27.889,-83.274,13,1788,26.2494220234768,-83.68492845164897
15082,27.877,-83.164,13,1788,26.2494220234768,-83.68492845164897
15083,27.864,-83.054,13,1788,26.2494220234768,-83.68492845164897
15084,27.5,-80.196,7,1218,29.571426362896666,-79.21924328722537
15085,27.484,-80.086,7,1218,29.571426362896666,-79.21924328722537
15086,27.469,-79.977,7,1218,29.571426362896666,-79.21924328722537
15087,27.453,-79.868,7,1218,29.571426362896666,-79.21924328722537
15088,27.437,-79.759,7,1218,29.571426362896666,-79.21924328722537
15089,27.422,-79.649,7,1218,29.571426362896666,-79.21924328722537
15090,27.406,-79.54,7,1218,29.571426362896666,-79.21924328722537
15091,28.505,-95.909,12,1062,27.476516949152547,-95.05929755178907
15092,28.505,-95.796,12,1062,27.476516949152547,-95.05929755178907
15093,28.505,-95.684,12,1062,27.476516949152547,-95.05929755178907
15094,28.505,-95.572,12,1062,27.476516949152547,-95.05929755178907
15095,28.504,-95.459,12,1062,27.476516949152547,-95.05929755178907
15096,28.504,-95.347,12,1062,27.476516949152547,-95.05929755178907
15097,28.503,-95.235,12,1062,27.476516949152547,-95.05929755178907
15098,28.502,-95.122,12,1062,27.476516949152547,-95.05929755178907
15099,28.501,-95.01,12,1062,27.476516949152547,-95.05929755178907
15100,28.5,-94.898,12,1062,27.476516949152547,-95.05929755178907
15101,28.499,-94.785,12,1062,27.476516949152547,-95.05929755178907
15102,28.498,-94.673,12,1062,27.476516949152547,-95.05929755178907
15103,28.496,-94.56,12,1062,27.476516949152547,-95.05929755178907
15104,28.495,-94.448,12,1062,27.476516949152547,-95.05929755178907
15105,28.493,-94.336,12,1062,27.476516949152547,-95.05929755178907
15106,28.492,-94.224,12,1062,27.476516949152547,-95.05929755178907
15107,28.49,-94.111,12,1062,27.476516949152547,-95.05929755178907
15108,28.488,-93.999,12,1062,27.476516949152547,-95.05929755178907
15109,28.486,-93.887,12,1062,27.476516949152547,-95.05929755178907
15110,28.484,-93.774,12,1062,27.476516949152547,-95.05929755178907
15111,28.482,-93.662,12,1062,27.476516949152547,-95.05929755178907
15112,28.479,-93.55,12,1062,27.476516949152547,-95.05929755178907
15113,28.477,-93.437,12,1062,27.476516949152547,-95.05929755178907
15114,28.474,-93.325,9,1247,27.589976688102894,-91.55722347266881
