,latitude,longitude,label
4067,40.649,-66.313,1
4068,40.621,-66.186,1
4069,40.593,-66.06,1
4070,40.565,-65.933,1
4071,40.537,-65.806,1
4072,40.509,-65.68,1
4073,39.824,-128.827,0
4074,39.855,-128.703,0
4075,39.885,-128.579,0
4076,39.915,-128.455,0
4077,39.946,-128.331,0
4078,39.976,-128.206,0
4079,40.006,-128.082,0
4080,40.035,-127.957,0
4081,40.065,-127.832,0
4082,40.095,-127.707,0
4083,40.124,-127.582,0
4084,40.154,-127.457,0
4085,40.183,-127.332,0
4086,40.212,-127.206,0
4087,40.241,-127.081,0
4088,40.27,-126.955,0
4089,40.299,-126.83,0
4090,40.328,-126.704,0
4091,40.356,-126.578,0
4092,40.385,-126.452,0
4093,40.413,-126.326,0
4094,40.441,-126.199,0
4095,40.469,-126.073,0
4096,40.497,-125.946,0
4097,40.525,-125.82,0
4098,40.553,-125.693,0
4099,40.581,-125.566,0
4100,40.608,-125.439,0
4101,40.636,-125.312,0
4102,40.663,-125.185,0
4103,40.69,-125.058,0
4104,40.717,-124.93,0
4105,40.744,-124.803,0
4106,40.771,-124.675,0
4107,40.798,-124.548,0
4108,40.824,-124.42,0
4109,40.851,-124.292,0
4110,40.877,-124.164,0
4111,43.36,-86.532,-1
4112,43.351,-86.394,-1
4113,43.032,-82.393,-1
4114,42.719,-79.389,-1
4115,42.703,-79.253,-1
4116,42.687,-79.117,-1
4117,41.365,-70.337,1
4118,41.341,-70.207,1
4119,41.317,-70.077,1
4120,41.293,-69.947,1
4121,41.268,-69.818,1
4122,41.244,-69.688,1
4123,41.219,-69.558,1
4124,41.194,-69.429,1
4125,41.169,-69.3,1
4126,41.144,-69.17,1
4127,41.119,-69.041,1
4128,41.094,-68.912,1
4129,41.068,-68.783,1
4130,41.043,-68.655,1
4131,41.017,-68.526,1
4132,40.991,-68.397,1
4133,40.966,-68.269,1
4134,40.94,-68.141,1
4135,40.913,-68.012,1
4136,40.887,-67.884,1
4137,40.861,-67.756,1
4138,40.834,-67.628,1
4139,40.808,-67.5,1
4140,40.781,-67.372,1
4141,40.754,-67.245,1
4142,40.727,-67.117,1
4143,40.7,-66.99,1
4144,40.673,-66.863,1
4145,40.646,-66.735,1
4146,40.619,-66.608,1
4147,40.591,-66.481,1
4148,40.563,-66.354,1
4149,40.536,-66.228,1
4150,40.508,-66.101,1
4151,40.48,-65.974,1
4152,40.452,-65.848,1
4153,40.424,-65.722,1
4154,39.74,-128.783,0
4155,39.77,-128.659,0
4156,39.8,-128.535,0
4157,39.831,-128.411,0
4158,39.861,-128.287,0
4159,39.891,-128.162,0
4160,39.921,-128.038,0
4161,39.95,-127.913,0
4162,39.98,-127.789,0
4163,40.01,-127.664,0
4164,40.039,-127.539,0
4165,40.069,-127.414,0
4166,40.098,-127.289,0
4167,40.127,-127.164,0
4168,40.156,-127.038,0
4169,40.185,-126.913,0
4170,40.214,-126.787,0
4171,40.242,-126.661,0
4172,40.271,-126.536,0
4173,40.299,-126.41,0
4174,40.328,-126.284,0
4175,40.356,-126.158,0
4176,40.384,-126.031,0
4177,40.412,-125.905,0
4178,40.44,-125.779,0
4179,40.467,-125.652,0
4180,40.495,-125.525,0
4181,40.523,-125.398,0
4182,40.55,-125.272,0
4183,40.577,-125.145,0
4184,40.604,-125.017,0
4185,40.631,-124.89,0
4186,40.658,-124.763,0
4187,40.685,-124.635,0
4188,40.712,-124.508,0
4189,40.739,-124.38,0
4190,40.765,-124.253,0
4191,43.27,-86.546,-1
4192,43.261,-86.408,-1
4193,42.646,-79.548,-1
4194,42.63,-79.413,-1
4195,42.614,-79.277,-1
4196,42.599,-79.142,-1
4197,41.421,-71.154,1
4198,41.397,-71.024,1
4199,41.374,-70.893,1
4200,41.327,-70.633,1
4201,41.303,-70.503,1
4202,41.279,-70.373,1
4203,41.255,-70.243,1
4204,41.231,-70.113,1
4205,41.206,-69.984,1
4206,41.182,-69.854,1
4207,41.157,-69.725,1
4208,41.133,-69.595,1
4209,41.108,-69.466,1
4210,41.083,-69.337,1
4211,41.058,-69.208,1
4212,41.033,-69.079,1
4213,41.007,-68.95,1
4214,40.982,-68.821,1
4215,40.957,-68.693,1
4216,40.931,-68.564,1
4217,40.905,-68.436,1
4218,40.879,-68.308,1
4219,40.853,-68.179,1
4220,40.827,-68.051,1
4221,40.801,-67.923,1
4222,40.775,-67.795,1
4223,40.748,-67.667,1
4224,40.722,-67.54,1
4225,40.695,-67.412,1
4226,40.668,-67.285,1
4227,40.642,-67.157,1
4228,40.615,-67.03,1
4229,40.587,-66.903,1
4230,40.56,-66.776,1
4231,40.533,-66.649,1
4232,40.505,-66.522,1
4233,40.478,-66.395,1
4234,40.45,-66.269,1
4235,40.422,-66.142,1
4236,40.394,-66.016,1
4237,40.366,-65.89,1
4238,40.338,-65.763,1
4239,39.655,-128.738,0
4240,39.685,-128.614,0
4241,39.716,-128.491,0
4242,39.746,-128.367,0
4243,39.776,-128.243,0
4244,39.806,-128.118,0
4245,39.836,-127.994,0
4246,39.865,-127.87,0
4247,39.895,-127.745,0
4248,39.925,-127.621,0
4249,39.954,-127.496,0
4250,39.983,-127.371,0
4251,40.013,-127.246,0
4252,40.042,-127.121,0
